word,normalized,familiarity,sense_key,sense_definition,category_key,relation_type,status,semantic_status,gameplay_difficulty,fit,obviousness,risk_flags,reason
earthy,earthy,0.431,,,smell_words,is_a,alternative,unreviewed,0.367,0.97,0.7,,Earthy describes how something smells
floral,floral,0.539,,,smell_words,is_a,alternative,unreviewed,0.336,0.97,0.7,,Floral describes how something smells
fragrant,fragrant,0.459,,,smell_words,is_a,alternative,unreviewed,0.359,0.97,0.7,,Fragrant describes how something smells
fresh,fresh,0.69,fresh_scent,Clean and light smelling,smell_words,is_a,alternative,unreviewed,0.293,0.97,0.7,,Fresh describes how something smells
minty,minty,0.384,,,smell_words,is_a,alternative,unreviewed,0.38,0.97,0.7,,Minty describes how something smells
musty,musty,0.404,,,smell_words,is_a,alternative,unreviewed,0.375,0.97,0.7,,Musty describes how something smells
pungent,pungent,0.416,,,smell_words,is_a,alternative,unreviewed,0.371,0.97,0.7,,Pungent describes how something smells
rancid,rancid,0.4,,,smell_words,is_a,alternative,unreviewed,0.376,0.97,0.7,,Rancid describes how something smells
smoky,smoky,0.476,,,smell_words,is_a,alternative,unreviewed,0.354,0.97,0.7,,Smoky describes how something smells
sour,sour,0.554,,,smell_words,is_a,alternative,unreviewed,0.332,0.97,0.7,,Sour describes how something smells
spicy,spicy,0.543,,,smell_words,is_a,alternative,unreviewed,0.335,0.97,0.7,,Spicy describes how something smells
stale,stale,0.49,,,smell_words,is_a,alternative,unreviewed,0.35,0.97,0.7,,Stale describes how something smells
sweet,sweet,0.701,,,smell_words,is_a,approved,unreviewed,0.29,0.97,0.7,,Sweet describes how something smells
briny,briny,0.314,,,smell_words,is_a,hard_only,unreviewed,0.4,0.97,0.7,"[""obscure""]",Briny describes how something smells
woodsy,woodsy,0.307,,,smell_words,is_a,hard_only,unreviewed,0.402,0.97,0.7,"[""obscure""]",Woodsy describes how something smells
brisk,brisk,0.457,,,speed_adjectives,is_a,approved,unreviewed,0.319,0.97,0.75,,Brisk describes how fast something moves
creeping,creeping,0.507,,,speed_adjectives,is_a,approved,unreviewed,0.305,0.97,0.75,,Creeping describes how fast something moves
fast,fast,0.733,,,speed_adjectives,is_a,approved,unreviewed,0.25,0.97,0.75,,Fast describes how fast something moves
gradual,gradual,0.524,,,speed_adjectives,is_a,approved,unreviewed,0.3,0.97,0.75,,Gradual describes how fast something moves
hasty,hasty,0.47,,,speed_adjectives,is_a,approved,unreviewed,0.316,0.97,0.75,,Hasty describes how fast something moves
leisurely,leisurely,0.436,,,speed_adjectives,is_a,approved,unreviewed,0.325,0.97,0.75,,Leisurely describes how fast something moves
medium,medium,0.659,,,speed_adjectives,is_a,approved,unreviewed,0.25,0.95,0.85,,medium fits the category rule: Words describing how fast something moves
quick,quick,0.711,,,speed_adjectives,is_a,approved,unreviewed,0.25,0.97,0.75,,Quick describes how fast something moves
rapid,rapid,0.626,,,speed_adjectives,is_a,approved,unreviewed,0.271,0.97,0.75,,Rapid describes how fast something moves
slow,slow,0.693,,,speed_adjectives,is_a,approved,unreviewed,0.252,0.97,0.75,,Slow describes how fast something moves
sluggish,sluggish,0.464,,,speed_adjectives,is_a,approved,unreviewed,0.317,0.97,0.75,,Sluggish describes how fast something moves
speedy,speedy,0.521,,,speed_adjectives,is_a,approved,unreviewed,0.301,0.97,0.75,,Speedy describes how fast something moves
steady,steady,0.616,,,speed_adjectives,is_a,approved,unreviewed,0.274,0.97,0.75,,Steady describes how fast something moves
sudden,sudden,0.629,,,speed_adjectives,is_a,approved,unreviewed,0.27,0.97,0.75,,Sudden describes how fast something moves
swift,swift,0.593,,,speed_adjectives,is_a,approved,unreviewed,0.281,0.97,0.75,,Swift describes how fast something moves
turbo,turbo,0.534,,,speed_adjectives,is_a,approved,unreviewed,0.275,0.95,0.8,,turbo fits the category rule: Words describing how fast something moves
brittle,brittle,0.469,brittle_property,Hard but easily broken,strength_words,is_a,approved,unreviewed,0.316,0.97,0.75,,Brittle describes strength
delicate,delicate,0.573,,,strength_words,is_a,approved,unreviewed,0.286,0.97,0.75,,Delicate describes strength
durable,durable,0.526,,,strength_words,is_a,approved,unreviewed,0.3,0.97,0.75,,Durable describes strength
feeble,feeble,0.459,,,strength_words,is_a,approved,unreviewed,0.319,0.97,0.75,,Feeble describes strength
flimsy,flimsy,0.443,,,strength_words,is_a,approved,unreviewed,0.323,0.97,0.75,,Flimsy describes strength
fragile,fragile,0.551,,,strength_words,is_a,approved,unreviewed,0.293,0.97,0.75,,Fragile describes strength
frail,frail,0.469,,,strength_words,is_a,approved,unreviewed,0.316,0.97,0.75,,Frail describes strength
mighty,mighty,0.586,,,strength_words,is_a,approved,unreviewed,0.283,0.97,0.75,,Mighty describes strength
robust,robust,0.563,,,strength_words,is_a,approved,unreviewed,0.289,0.97,0.75,,Robust describes strength
solid,solid,0.676,solid_strong,Firm and not easily broken,strength_words,is_a,approved,unreviewed,0.257,0.97,0.75,,Solid describes strength
strong,strong,0.746,,,strength_words,is_a,approved,unreviewed,0.25,0.97,0.75,,Strong describes strength
sturdy,sturdy,0.491,,,strength_words,is_a,approved,unreviewed,0.31,0.97,0.75,,Sturdy describes strength
tough,tough,0.681,,,strength_words,is_a,approved,unreviewed,0.255,0.97,0.75,,Tough describes strength
weak,weak,0.666,,,strength_words,is_a,approved,unreviewed,0.26,0.97,0.75,,Weak describes strength
bitter,bitter,0.601,,,taste_words,is_a,approved,unreviewed,0.238,0.97,0.8,,Bitter describes how food tastes
bland,bland,0.5,,,taste_words,is_a,approved,unreviewed,0.267,0.97,0.8,,Bland describes how food tastes
buttery,buttery,0.416,,,taste_words,is_a,approved,unreviewed,0.291,0.97,0.8,,Buttery describes how food tastes
creamy,creamy,0.49,,,taste_words,is_a,approved,unreviewed,0.27,0.97,0.8,,Creamy describes how food tastes
crisp,crisp,0.529,,,taste_words,is_a,approved,unreviewed,0.259,0.97,0.8,,Crisp describes how food tastes
hearty,hearty,0.483,,,taste_words,is_a,approved,unreviewed,0.272,0.97,0.8,,Hearty describes how food tastes
mild,mild,0.587,,,taste_words,is_a,approved,unreviewed,0.242,0.97,0.8,,Mild describes how food tastes
nutty,nutty,0.456,,,taste_words,is_a,approved,unreviewed,0.28,0.97,0.8,,Nutty describes how food tastes
peppery,peppery,0.337,,,taste_words,is_a,approved,unreviewed,0.314,0.97,0.8,"[""obscure""]",Peppery describes how food tastes
rich,rich,0.701,,,taste_words,is_a,approved,unreviewed,0.21,0.97,0.8,,Rich describes how food tastes
salty,salty,0.534,,,taste_words,is_a,approved,unreviewed,0.257,0.97,0.8,,Salty describes how food tastes
savory,savory,0.429,,,taste_words,is_a,approved,unreviewed,0.287,0.97,0.8,,Savory describes how food tastes
smoky,smoky,0.476,,,taste_words,is_a,approved,unreviewed,0.274,0.97,0.8,,Smoky describes how food tastes
sour,sour,0.554,,,taste_words,is_a,approved,unreviewed,0.252,0.97,0.8,,Sour describes how food tastes
spicy,spicy,0.543,,,taste_words,is_a,approved,unreviewed,0.255,0.97,0.8,,Spicy describes how food tastes
sweet,sweet,0.701,,,taste_words,is_a,approved,unreviewed,0.21,0.97,0.8,,Sweet describes how food tastes
syrupy,syrupy,0.339,,,taste_words,is_a,approved,unreviewed,0.313,0.97,0.8,"[""obscure""]",Syrupy describes how food tastes
tangy,tangy,0.377,,,taste_words,is_a,approved,unreviewed,0.302,0.97,0.8,,Tangy describes how food tastes
tart,tart,0.481,,,taste_words,is_a,approved,unreviewed,0.273,0.97,0.8,,Tart describes how food tastes
umami,umami,0.34,,,taste_words,is_a,approved,unreviewed,0.375,0.95,0.55,,umami fits the category rule: Words describing how food tastes
zesty,zesty,0.344,,,taste_words,is_a,approved,unreviewed,0.312,0.97,0.8,"[""obscure""]",Zesty describes how food tastes
bumpy,bumpy,0.454,,,temperature_feel,is_a,alternative,unreviewed,0.32,0.97,0.75,,Bumpy describes how something feels to touch
cold,cold,0.717,cold_temperature,Having a low temperature,temperature_feel,is_a,alternative,unreviewed,0.25,0.97,0.75,,Cold describes how something feels to touch
damp,damp,0.517,,,temperature_feel,is_a,alternative,unreviewed,0.302,0.97,0.75,,Damp describes how something feels to touch
fuzzy,fuzzy,0.521,,,temperature_feel,is_a,alternative,unreviewed,0.301,0.97,0.75,,Fuzzy describes how something feels to touch
grainy,grainy,0.406,,,temperature_feel,is_a,alternative,unreviewed,0.334,0.97,0.75,,Grainy describes how something feels to touch
prickly,prickly,0.433,,,temperature_feel,is_a,alternative,unreviewed,0.326,0.97,0.75,,Prickly describes how something feels to touch
silky,silky,0.466,,,temperature_feel,is_a,alternative,unreviewed,0.317,0.97,0.75,,Silky describes how something feels to touch
slippery,slippery,0.516,,,temperature_feel,is_a,alternative,unreviewed,0.303,0.97,0.75,,Slippery describes how something feels to touch
spongy,spongy,0.374,,,temperature_feel,is_a,alternative,unreviewed,0.343,0.97,0.75,,Spongy describes how something feels to touch
sticky,sticky,0.543,,,temperature_feel,is_a,alternative,unreviewed,0.295,0.97,0.75,,Sticky describes how something feels to touch
hard,hard,0.79,,,temperature_feel,is_a,approved,unreviewed,0.25,0.97,0.75,,Hard describes how something feels to touch
rough,rough,0.641,,,temperature_feel,is_a,approved,unreviewed,0.267,0.97,0.75,,Rough describes how something feels to touch
Sharp,sharp,0.64,,,temperature_feel,is_a,approved,unreviewed,0.267,0.97,0.75,,Sharp describes how something feels to touch
smooth,smooth,0.629,,,temperature_feel,is_a,approved,unreviewed,0.27,0.97,0.75,,Smooth describes how something feels to touch
soft,soft,0.669,,,temperature_feel,is_a,approved,unreviewed,0.259,0.97,0.75,,Soft describes how something feels to touch
warm,warm,0.673,,,temperature_feel,is_a,approved,unreviewed,0.258,0.97,0.75,,Warm describes how something feels to touch
affordable,affordable,0.603,,,value_words,is_a,approved,unreviewed,0.278,0.97,0.75,,Affordable describes how much something costs
bargain,bargain,0.564,,,value_words,is_a,approved,unreviewed,0.289,0.97,0.75,,Bargain describes how much something costs
budget,budget,0.689,,,value_words,is_a,approved,unreviewed,0.253,0.97,0.75,,Budget describes how much something costs
cheap,cheap,0.673,,,value_words,is_a,approved,unreviewed,0.258,0.97,0.75,,Cheap describes how much something costs
costly,costly,0.561,,,value_words,is_a,approved,unreviewed,0.29,0.97,0.75,,Costly describes how much something costs
discounted,discounted,0.511,,,value_words,is_a,approved,unreviewed,0.304,0.97,0.75,,Discounted describes how much something costs
expensive,expensive,0.67,,,value_words,is_a,approved,unreviewed,0.259,0.97,0.75,,Expensive describes how much something costs
free,free,0.804,,,value_words,is_a,approved,unreviewed,0.25,0.97,0.75,,Free describes how much something costs
luxurious,luxurious,0.507,,,value_words,is_a,approved,unreviewed,0.305,0.97,0.75,,Luxurious describes how much something costs
overpriced,overpriced,0.446,,,value_words,is_a,approved,unreviewed,0.323,0.97,0.75,,Overpriced describes how much something costs
priceless,priceless,0.511,,,value_words,is_a,approved,unreviewed,0.304,0.97,0.75,,Priceless describes how much something costs
pricey,pricey,0.477,,,value_words,is_a,approved,unreviewed,0.314,0.97,0.75,,Pricey describes how much something costs
valuable,valuable,0.644,,,value_words,is_a,approved,unreviewed,0.266,0.97,0.75,,Valuable describes how much something costs
worthless,worthless,0.546,,,value_words,is_a,approved,unreviewed,0.294,0.97,0.75,,Worthless describes how much something costs
balmy,balmy,0.386,,,weather_adjectives,is_a,approved,unreviewed,0.3,0.97,0.8,,Balmy describes the weather
breezy,breezy,0.446,,,weather_adjectives,is_a,approved,unreviewed,0.283,0.97,0.8,,Breezy describes the weather
clear,clear,0.75,,,weather_adjectives,is_a,approved,unreviewed,0.21,0.97,0.8,,Clear describes the weather
cloudy,cloudy,0.507,,,weather_adjectives,is_a,approved,unreviewed,0.265,0.97,0.8,,Cloudy describes the weather
drizzly,drizzly,0.309,,,weather_adjectives,is_a,approved,unreviewed,0.322,0.97,0.8,"[""obscure""]",Drizzly describes the weather
foggy,foggy,0.456,,,weather_adjectives,is_a,approved,unreviewed,0.28,0.97,0.8,,Foggy describes the weather
freezing,freezing,0.579,,,weather_adjectives,is_a,approved,unreviewed,0.245,0.97,0.8,,Freezing describes the weather
humid,humid,0.5,,,weather_adjectives,is_a,approved,unreviewed,0.267,0.97,0.8,,Humid describes the weather
icy,icy,0.506,,,weather_adjectives,is_a,approved,unreviewed,0.265,0.97,0.8,,Icy describes the weather
mild,mild,0.587,,,weather_adjectives,is_a,approved,unreviewed,0.242,0.97,0.8,,Mild describes the weather
muggy,muggy,0.361,,,weather_adjectives,is_a,approved,unreviewed,0.307,0.97,0.8,,Muggy describes the weather
overcast,overcast,0.436,,,weather_adjectives,is_a,approved,unreviewed,0.285,0.97,0.8,,Overcast describes the weather
rainy,rainy,0.534,,,weather_adjectives,is_a,approved,unreviewed,0.257,0.97,0.8,,Rainy describes the weather
snowy,snowy,0.494,,,weather_adjectives,is_a,approved,unreviewed,0.269,0.97,0.8,,Snowy describes the weather
stormy,stormy,0.494,,,weather_adjectives,is_a,approved,unreviewed,0.269,0.97,0.8,,Stormy describes the weather
sunny,sunny,0.581,,,weather_adjectives,is_a,approved,unreviewed,0.244,0.97,0.8,,Sunny describes the weather
sweltering,sweltering,0.371,,,weather_adjectives,is_a,approved,unreviewed,0.304,0.97,0.8,,Sweltering describes the weather
windy,windy,0.51,,,weather_adjectives,is_a,approved,unreviewed,0.264,0.97,0.8,,Windy describes the weather
arid,arid,0.481,,,wetness_words,is_a,approved,unreviewed,0.313,0.97,0.75,,Arid describes how wet something is
crisp,crisp,0.529,,,wetness_words,is_a,approved,unreviewed,0.299,0.97,0.75,,Crisp describes how wet something is
damp,damp,0.517,,,wetness_words,is_a,approved,unreviewed,0.302,0.97,0.75,,Damp describes how wet something is
dewy,dewy,0.377,,,wetness_words,is_a,approved,unreviewed,0.342,0.97,0.75,,Dewy describes how wet something is
drenched,drenched,0.461,,,wetness_words,is_a,approved,unreviewed,0.318,0.97,0.75,,Drenched describes how wet something is
dripping,dripping,0.497,,,wetness_words,is_a,approved,unreviewed,0.308,0.97,0.75,,Dripping describes how wet something is
dry,dry,0.677,,,wetness_words,is_a,approved,unreviewed,0.257,0.97,0.75,,Dry describes how wet something is
humid,humid,0.5,,,wetness_words,is_a,approved,unreviewed,0.307,0.97,0.75,,Humid describes how wet something is
moist,moist,0.527,,,wetness_words,is_a,approved,unreviewed,0.299,0.97,0.75,,Moist describes how wet something is
parched,parched,0.411,,,wetness_words,is_a,approved,unreviewed,0.333,0.97,0.75,,Parched describes how wet something is
saturated,saturated,0.523,,,wetness_words,is_a,approved,unreviewed,0.301,0.97,0.75,,Saturated describes how wet something is
soaked,soaked,0.523,,,wetness_words,is_a,approved,unreviewed,0.301,0.97,0.75,,Soaked describes how wet something is
soggy,soggy,0.449,,,wetness_words,is_a,approved,unreviewed,0.322,0.97,0.75,,Soggy describes how wet something is
wet,wet,0.649,,,wetness_words,is_a,approved,unreviewed,0.265,0.97,0.75,,Wet describes how wet something is
season,season,0.783,season_time,One of the divisions of the year,alphabet_and_numbers,is_a,alternative,unreviewed,0.204,0.97,0.82,,Season is one of the first things children learn at school
sound,sound,0.736,sound_noise,Something that can be heard,alphabet_and_numbers,is_a,alternative,unreviewed,0.204,0.97,0.82,,Sound is one of the first things children learn at school
addition,addition,0.716,,,alphabet_and_numbers,is_a,approved,unreviewed,0.204,0.97,0.82,,Addition is one of the first things children learn at school
alphabet,alphabet,0.529,,,alphabet_and_numbers,is_a,approved,unreviewed,0.253,0.97,0.82,,Alphabet is one of the first things children learn at school
color,color,0.701,,,alphabet_and_numbers,is_a,approved,unreviewed,0.204,0.97,0.82,,Color is one of the first things children learn at school
count,count,0.69,,,alphabet_and_numbers,is_a,approved,unreviewed,0.207,0.97,0.82,,Count is one of the first things children learn at school
day,day,0.85,,,alphabet_and_numbers,is_a,approved,unreviewed,0.204,0.97,0.82,,Day is one of the first things children learn at school
letter,letter,0.707,letter_alphabet,A written symbol of the alphabet,alphabet_and_numbers,is_a,approved,unreviewed,0.204,0.97,0.82,,Letter is one of the first things children learn at school
month,month,0.75,,,alphabet_and_numbers,is_a,approved,unreviewed,0.204,0.97,0.82,,Month is one of the first things children learn at school
name,name,0.801,,,alphabet_and_numbers,is_a,approved,unreviewed,0.204,0.97,0.82,,Name is one of the first things children learn at school
number,number,0.803,,,alphabet_and_numbers,is_a,approved,unreviewed,0.204,0.97,0.82,,Number is one of the first things children learn at school
rhyme,rhyme,0.509,,,alphabet_and_numbers,is_a,approved,unreviewed,0.259,0.97,0.82,,Rhyme is one of the first things children learn at school
shape,shape,0.674,,,alphabet_and_numbers,is_a,approved,unreviewed,0.211,0.97,0.82,,Shape is one of the first things children learn at school
sight word,sight word,0.637,,,alphabet_and_numbers,is_a,approved,unreviewed,0.222,0.97,0.82,"[""multiword""]",Sight word is one of the first things children learn at school
word,word,0.751,,,alphabet_and_numbers,is_a,approved,unreviewed,0.204,0.97,0.82,,Word is one of the first things children learn at school
chalk,chalk,0.527,chalk_stick,A soft white stick used for writing on a board,art_class_things,found_in,alternative,unreviewed,0.219,0.97,0.85,,Chalk is used in a school art class
apron,apron,0.48,apron_garment,A cloth worn over the front of clothes to keep them clean,art_class_things,found_in,approved,unreviewed,0.233,0.97,0.85,,Apron is used in a school art class
brush,brush,0.604,,,art_class_things,found_in,approved,unreviewed,0.197,0.97,0.85,,Brush is used in a school art class
canvas,canvas,0.566,,,art_class_things,found_in,approved,unreviewed,0.208,0.97,0.85,,Canvas is used in a school art class
clay,clay,0.613,,,art_class_things,found_in,approved,unreviewed,0.195,0.97,0.85,,Clay is used in a school art class
colors,colors,0.637,,,art_class_things,found_in,approved,unreviewed,,0.96,0.8,,Mixing colors is the first art lesson
construction paper,construction paper,0.674,,,art_class_things,found_in,approved,unreviewed,0.177,0.97,0.85,"[""multiword""]",Construction paper is used in a school art class
crafts,crafts,0.533,,,art_class_things,found_in,approved,unreviewed,,0.9,0.64,,Craft projects are art class work
easel,easel,0.383,,,art_class_things,found_in,approved,unreviewed,0.261,0.97,0.85,,Easel is used in a school art class
glitter,glitter,0.509,,,art_class_things,found_in,approved,unreviewed,0.225,0.97,0.85,,Glitter is used in a school art class
glue,glue,0.543,,,art_class_things,found_in,approved,unreviewed,0.215,0.97,0.85,,Glue is used in a school art class
kiln,kiln,0.444,,,art_class_things,found_in,approved,unreviewed,0.243,0.97,0.85,,Kiln is used in a school art class
marker,marker,0.553,,,art_class_things,found_in,approved,unreviewed,0.212,0.97,0.85,,Marker is used in a school art class
paint,paint,0.646,,,art_class_things,found_in,approved,unreviewed,0.185,0.97,0.85,,Paint is used in a school art class
palette,palette,0.534,,,art_class_things,found_in,approved,unreviewed,0.217,0.97,0.85,,Palette is used in a school art class
pastel,pastel,0.464,,,art_class_things,found_in,approved,unreviewed,0.237,0.97,0.85,,Pastel is used in a school art class
patterns,patterns,0.63,,,art_class_things,found_in,approved,unreviewed,,0.88,0.58,,Patterns are an art class exercise
scissors,scissors,0.511,,,art_class_things,found_in,approved,unreviewed,0.224,0.97,0.85,,Scissors is used in a school art class
shapes,shapes,0.57,,,art_class_things,found_in,approved,unreviewed,,0.92,0.68,,Drawing starts from shapes
sketchbook,sketchbook,0.397,,,art_class_things,found_in,approved,unreviewed,0.257,0.97,0.85,,Sketchbook is used in a school art class
smock,smock,0.367,,,art_class_things,found_in,approved,unreviewed,0.265,0.97,0.85,,Smock is used in a school art class
stencil,stencil,0.406,,,art_class_things,found_in,approved,unreviewed,0.254,0.97,0.85,,Stencil is used in a school art class
alphabet,alphabet,0.529,,,classroom_things,found_in,approved,unreviewed,0.185,0.97,0.88,,Alphabet is found in a school classroom
bell,bell,0.656,,,classroom_things,found_in,approved,unreviewed,0.149,0.97,0.88,,Bell is found in a school classroom
bookshelf,bookshelf,0.417,,,classroom_things,found_in,approved,unreviewed,0.217,0.97,0.88,,Bookshelf is found in a school classroom
calendar,calendar,0.614,,,classroom_things,found_in,approved,unreviewed,0.161,0.97,0.88,,Calendar is found in a school classroom
chair,chair,0.67,,,classroom_things,found_in,approved,unreviewed,0.145,0.97,0.88,,Chair is found in a school classroom
chalk,chalk,0.527,chalk_stick,A soft white stick used for writing on a board,classroom_things,found_in,approved,unreviewed,0.185,0.97,0.88,,Chalk is found in a school classroom
chalkboard,chalkboard,0.396,,,classroom_things,found_in,approved,unreviewed,0.223,0.97,0.88,,Chalkboard is found in a school classroom
clock,clock,0.633,,,classroom_things,found_in,approved,unreviewed,0.155,0.97,0.88,,Clock is found in a school classroom
cubby,cubby,0.364,,,classroom_things,found_in,approved,unreviewed,0.232,0.97,0.88,,Cubby is found in a school classroom
desk,desk,0.633,,,classroom_things,found_in,approved,unreviewed,0.155,0.97,0.88,,Desk is found in a school classroom
easel,easel,0.383,,,classroom_things,found_in,approved,unreviewed,0.227,0.97,0.88,,Easel is found in a school classroom
flag,flag,0.654,,,classroom_things,found_in,approved,unreviewed,0.149,0.97,0.88,,Flag is found in a school classroom
globe,globe,0.611,,,classroom_things,found_in,approved,unreviewed,0.161,0.97,0.88,,Globe is found in a school classroom
hall pass,hall pass,0.664,,,classroom_things,found_in,approved,unreviewed,0.146,0.97,0.88,"[""multiword""]",Hall pass is found in a school classroom
locker,locker,0.564,,,classroom_things,found_in,approved,unreviewed,0.175,0.97,0.88,,Locker is found in a school classroom
map,map,0.68,,,classroom_things,found_in,approved,unreviewed,0.142,0.97,0.88,,Map is found in a school classroom
poster,poster,0.599,,,classroom_things,found_in,approved,unreviewed,0.165,0.97,0.88,,Poster is found in a school classroom
projector,projector,0.487,,,classroom_things,found_in,approved,unreviewed,0.197,0.97,0.88,,Projector is found in a school classroom
textbook,textbook,0.539,,,classroom_things,found_in,approved,unreviewed,0.182,0.97,0.88,,Textbook is found in a school classroom
whiteboard,whiteboard,0.409,,,classroom_things,found_in,approved,unreviewed,0.219,0.97,0.88,,Whiteboard is found in a school classroom
major,major,0.757,major_study,The main subject a student studies in college,college_words,found_in,alternative,unreviewed,0.21,0.97,0.8,,Major is used when talking about college
alumni,alumni,0.556,,,college_words,found_in,approved,unreviewed,0.251,0.97,0.8,,Alumni is used when talking about college
campus,campus,0.644,,,college_words,found_in,approved,unreviewed,0.226,0.97,0.8,,Campus is used when talking about college
credit,credit,0.714,,,college_words,found_in,approved,unreviewed,0.21,0.97,0.8,,Credit is used when talking about college
dean,dean,0.629,,,college_words,found_in,approved,unreviewed,0.23,0.97,0.8,,Dean is used when talking about college
degree,degree,0.706,degree_academic,A qualification awarded by a university,college_words,found_in,approved,unreviewed,0.21,0.97,0.8,,Degree is used when talking about college
dorm,dorm,0.511,,,college_words,found_in,approved,unreviewed,0.264,0.97,0.8,,Dorm is used when talking about college
fraternity,fraternity,0.509,,,college_words,found_in,approved,unreviewed,0.265,0.97,0.8,,Fraternity is used when talking about college
freshman,freshman,0.569,,,college_words,found_in,approved,unreviewed,0.247,0.97,0.8,,Freshman is used when talking about college
junior,junior,0.641,,,college_words,found_in,approved,unreviewed,0.227,0.97,0.8,,Junior is used when talking about college
lecture,lecture,0.591,,,college_words,found_in,approved,unreviewed,0.241,0.97,0.8,,Lecture is used when talking about college
minor,minor,0.66,,,college_words,found_in,approved,unreviewed,0.221,0.97,0.8,,Minor is used when talking about college
professor,professor,0.7,,,college_words,found_in,approved,unreviewed,0.21,0.97,0.8,,Professor is used when talking about college
scholarship,scholarship,0.593,,,college_words,found_in,approved,unreviewed,0.241,0.97,0.8,,Scholarship is used when talking about college
semester,semester,0.576,,,college_words,found_in,approved,unreviewed,0.245,0.97,0.8,,Semester is used when talking about college
seminar,seminar,0.539,,,college_words,found_in,approved,unreviewed,0.256,0.97,0.8,,Seminar is used when talking about college
senior,senior,0.703,,,college_words,found_in,approved,unreviewed,0.21,0.97,0.8,,Senior is used when talking about college
sophomore,sophomore,0.527,,,college_words,found_in,approved,unreviewed,0.259,0.97,0.8,,Sophomore is used when talking about college
thesis,thesis,0.579,,,college_words,found_in,approved,unreviewed,0.245,0.97,0.8,,Thesis is used when talking about college
tuition,tuition,0.567,,,college_words,found_in,approved,unreviewed,0.248,0.97,0.8,,Tuition is used when talking about college
associate,associate,0.627,,,degrees_and_titles,is_a,approved,unreviewed,0.271,0.97,0.75,,Associate is an academic degree or qualification
bachelor,bachelor,0.567,,,degrees_and_titles,is_a,approved,unreviewed,0.288,0.97,0.75,,Bachelor is an academic degree or qualification
certificate,certificate,0.613,,,degrees_and_titles,is_a,approved,unreviewed,0.275,0.97,0.75,,Certificate is an academic degree or qualification
credential,credential,0.393,,,degrees_and_titles,is_a,approved,unreviewed,0.338,0.97,0.75,,Credential is an academic degree or qualification
diploma,diploma,0.537,,,degrees_and_titles,is_a,approved,unreviewed,0.297,0.97,0.75,,Diploma is an academic degree or qualification
doctorate,doctorate,0.483,,,degrees_and_titles,is_a,approved,unreviewed,0.312,0.97,0.75,,Doctorate is an academic degree or qualification
fellowship,fellowship,0.551,,,degrees_and_titles,is_a,approved,unreviewed,0.293,0.97,0.75,,Fellowship is an academic degree or qualification
honors,honors,0.551,,,degrees_and_titles,is_a,approved,unreviewed,0.293,0.97,0.75,,Honors is an academic degree or qualification
license,license,0.646,,,degrees_and_titles,is_a,approved,unreviewed,0.265,0.97,0.75,,License is an academic degree or qualification
master,master,0.704,,,degrees_and_titles,is_a,approved,unreviewed,0.25,0.97,0.75,,Master is an academic degree or qualification
MBA,mba,0.507,,,degrees_and_titles,is_a,approved,unreviewed,0.305,0.97,0.75,,MBA is an academic degree or qualification
PhD,phd,0.581,,,degrees_and_titles,is_a,approved,unreviewed,0.284,0.97,0.75,,PhD is an academic degree or qualification
aquarium,aquarium,0.509,,,field_trip_places,found_in,approved,unreviewed,0.265,0.97,0.8,,Aquarium is a place a class visits on a field trip
bakery,bakery,0.524,,,field_trip_places,found_in,approved,unreviewed,0.26,0.97,0.8,,Bakery is a place a class visits on a field trip
capitol,capitol,0.571,,,field_trip_places,found_in,approved,unreviewed,0.247,0.97,0.8,,Capitol is a place a class visits on a field trip
factory,factory,0.65,,,field_trip_places,found_in,approved,unreviewed,0.224,0.97,0.8,,Factory is a place a class visits on a field trip
farm,farm,0.679,,,field_trip_places,found_in,approved,unreviewed,0.216,0.97,0.8,,Farm is a place a class visits on a field trip
fire station,fire station,0.69,,,field_trip_places,found_in,approved,unreviewed,0.213,0.97,0.8,"[""multiword""]",Fire station is a place a class visits on a field trip
gallery,gallery,0.641,,,field_trip_places,found_in,approved,unreviewed,0.227,0.97,0.8,,Gallery is a place a class visits on a field trip
historical site,historical site,0.654,,,field_trip_places,found_in,approved,unreviewed,0.223,0.97,0.8,"[""multiword""]",Historical site is a place a class visits on a field trip
museum,museum,0.673,,,field_trip_places,found_in,approved,unreviewed,0.218,0.97,0.8,,Museum is a place a class visits on a field trip
orchard,orchard,0.51,,,field_trip_places,found_in,approved,unreviewed,0.264,0.97,0.8,,Orchard is a place a class visits on a field trip
park,park,0.737,park_place,A public green space in a town,field_trip_places,found_in,approved,unreviewed,0.21,0.97,0.8,,Park is a place a class visits on a field trip
planetarium,planetarium,0.391,,,field_trip_places,found_in,approved,unreviewed,0.298,0.97,0.8,,Planetarium is a place a class visits on a field trip
science center,science center,0.693,,,field_trip_places,found_in,approved,unreviewed,0.212,0.97,0.8,"[""multiword""]",Science center is a place a class visits on a field trip
theater,theater,0.621,,,field_trip_places,found_in,approved,unreviewed,0.233,0.97,0.8,,Theater is a place a class visits on a field trip
zoo,zoo,0.591,,,field_trip_places,found_in,approved,unreviewed,0.241,0.97,0.8,,Zoo is a place a class visits on a field trip
average,average,0.737,,,grades_and_marks,found_in,approved,unreviewed,0.21,0.97,0.8,,Average is used to grade or evaluate a student
credit,credit,0.714,,,grades_and_marks,found_in,approved,unreviewed,0.21,0.97,0.8,,Credit is used to grade or evaluate a student
